DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
450,Melakukan tindakan terapi oral motor,Untuk melatih oral motor pada pasien dewasa dan anak,,Kepatuhan,Pasien,"Karena posisi pasien kurang pas atau pemakaian alat bantu pada daerah oral tidak terpaseng dengan sempurna mungkin saja pasien tersedak dan tidak bisa bernafas, sehingga psein hipoksia","Posisi pasien dan alat bantu nafas kurang terpasang dengan baik, pasien tersedak dan hipoksia",UC,4,5,Memastikan kondisi alat dan posisi pasien,Ada,Efektif,20,SANGAT TINGGI,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM,1x/bulan,Rehabilitasi Medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
451,Melakukan layanan terapi dengan alat terapi diathermi,melakukan pelayanan terapi sesuai program,,Kepatuhan,Pasien,karena sensibilitas pasien berbeda- beda mungkin saja rasa hangat atau panas bisa mempengaruhi area yang diterapi sehingga memiliki risiko luka bakar,sensibilitas pasien terhadap gelombang elektromagnetik yang masuk saat terapi,C,4,4,"karena kondisi sensibilitas pasien yang berbeda- beda saat terapi mungkin saja pasien ada yang merasakan kurang panas saat di diathermi, terapis tidak boleh mengabaikan hal tersebut, sehingga dapat menhindari risiko terjadinya luka bakar terhadap pasien",Ada,Efektif,16,SANGAT TINGGI,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM,1x/bulan,rehabilitasi medik,Syaida dan Intan,Rehab Medik & KTKA
452,Pasien berjalan menuju ruang terapi melalui jalan yang menurun atau naik/ turun tangga,kegiatan berpindah tempat dari depan ke ruang terapi,,Operasional,Pasien,karena area kondisi jalan yang menurun atau naik/ turun tangga saat berjalan menuju ruang terapi mungkin saja terjadi cedera saat berjalan sehingga menyebabkan risiko terkilir atau terjatuh,kondisi jalan,UC,2,2,"karena kondisi pasien saat melakukan perpindahan tempat dari tempat pendaftaran menuju ruang terapi mungkin saja dapat terjadi risiko terjatuh, sehingga pasien mengalami cedera dan menimbulkan kondisi penyakit baru",Ada,Kurang Efektif,4,RENDAH,Mengedukasi ke pengantar pasien untuk lebih mengawasi pasien,1x/bulan,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
453,Pasien menunggu di ruang tunggu terapi,menunggu urutan pemanggilan terapi,,Operasional,Pasien,karena jumlah kunjungan pasien saat itu yang datang cukup banyak mungkin saja terjadi penumpukan pasien di ruang tunggu terapi sehingga mengalami keterlambatan terapi,keterbatasan ruangan dan alat terapi,C,3,3,lama waktu tunggu pasien terapi mengalami keterlambatan,Tidak,Kurang Efektif,9,SEDANG,Membuat daftar antrian yang ditempal di depan pintu poli,Setiap kali antrian banyak,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
454,Melakukan tindakan terapi dengan alat terapi laser,melakukan pelayanan tindakan terapi sesuai program,,Kepatuhan,Pasien,karena penggunaan dosis pemakaian laser terapi yang kurang tepat mungkin saja terjadinya hematoma di area yang mendapatkan tindakan terapi,dosis penggunaan alat laser terapi,C,3,3,"dengan adanya panduan SOP penggunaan alat laser terapi dapat meminimalisir risiko cerdea luka bakar, sehingga tingkat keefektifan penggunaan alat terapi laser lebih optimal dalam pelayanan",Ada,Efektif,9,SEDANG,Melakukan sosialisai kembali mengenai SPO penggunaan alat lasre terapi yang aman pada saat GKM,1x/bulan,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
455,melakukan pengecekan kabel alat alat elektroterapi,untuk menjaga keamanan dan keselamatan pasien selama terapi,,Operasional,Fasilitas,karena adanya kabel alat elektroterapi yang terkelupas mungkin saja terjadinya ketidakstabilan arus listrik yang masuk maupun yang keluar dari alat etrsebut sehingga dapat menyebabkan risiko cedera luka bakar,kabel terkelupas,C,4,5,"karena adanya kondisi kabel alat alat elektroterapi yang terkelupas memungkinkan terjadinye resiko cedera luka bakar, sehingga menghambat proses tindakan terapi yang menyebabkan berkurangnya kunjungan pasien terapi",Ada,Efektif,20,SANGAT TINGGI,Melakukan sosialisai kembali mengenai SPO penggunaan alat elektroterapi yang benar pada saat GKM. berkoordinasi denan IPSRS,1x/bulan,rehabilitasi medik,Syaida dan Intan,Rehab Medik & KTKA
456,Menggunakan alat laser,untukn layanan tindakan terapi pasien menggunakan alat modalitas Laser,,Kepatuhan,Staf Medis,"karena terapis lupa tidak menggunakan pelindung mata saat tindakan laser terapi, mungkin saja mata terapis terkena radiasi, sehingga terjadi cedera pada mata terapis",Radiasi,C,2,5,"SPO penggunaan alat laser, menggunakan APD kacamata pelindung anti radiasi",Ada,Efektif,10,TINGGI,Melakukan sosialisai kembali mengenai SPO penggunaan pelindung mata saat menggunakan alat terapi laser pada saat GKM,1x/bulan,rehabilitasi medik,Syaida dan Intan,Rehab Medik & KTKA
457,Pad elektroda alat terapi TENS terkelupas,untuk layanan tindakan terapi dengan menggunakan alat modalitas TENS sesuai yang diprogramkan,,Kepatuhan,Pasien,Karena adanya kondisi pad elektroda TEnS yang terkelupas mungkin saja menyebabkan terjadinya kemerahan pada area yang diterapi sehingga menyebabkan resiko luka bakar,elektroda pad terkelupas,C,4,5,dengan dijalankannya SOP penggunaan alat TENS sangat memungkinkan untuk mengurangi resiko elektroda pad pada TENS yang terkelupas,Ada,Efektif,20,SANGAT TINGGI,Melakukan sosialisai kembali mengenai SPO penggunaan alat TENS pada saat GKM,1x/bulan,rehabilitasi medik,Syaida dan Intan,Rehab Medik & KTKA
458,exercise oral feeding,Untuk melakukan tindakan terapi pada pasien dengan gangguan makan dan menelan,,Kepatuhan,Pasien,Karena posisi pasien yang kurang ergonomis serta kemampuan menelan yang masih kurang baik mungkin saja cairan atau makana tersebut masuk ke sakluran nafas sehingga pasien tersedak,Potitioning yang salah,C,4,5,Memahami kondisi pasien dan memposisikan dengan benar,Ada,Efektif,20,SANGAT TINGGI,Melakukan sosialiasai da refresh mengenai tindakan pada pasien dengan gangguan menelan saat GKM,1x/bulan,Rehabilitasi Medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
459,Penggunaan ESWT pada pasien,untuk layanan tindakan terapi dengan menggunakan alat modalitas ESWT sesuai yang diprogramkan,,Operasional,Fasilitas,Karena terkadang pedaman listrik bisa terjadi secara tiba-tiba mungkin saja terjadi pada saat sedang pelayanan menggunakan alat ESWT sehingga alat ESWT mati tiba-tiba yang menyebabkan komponen listriknya di dalam mesin mengalami gangguan dan mesin menjadi rusak.,Pedaman listrik tiba-tiba,C,3,3,penyediaan UPS untuk alat elektroterapi,Ada,Efektif,9,SEDANG,Melakukan pengadaan alat UPS dan berkoordinasi dengan IPSRS untuk maintenance alat UPS,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
460,Penggunaan ESWT pada pasien,untuk layanan tindakan terapi dengan menggunakan alat modalitas ESWTsesuai yang diprogramkan,,Kepatuhan,Pasien,Karena terapis dan dokter lupa mengecek limit shock pada alat ESWT mungkin saja limit shock habis saat sedang pelayanan berlangsung sehingga menghambat pelayanan terapi pasien.,Lupa mengecek limit shock pada alat ESWT,C,2,3,SPO penggunaan alat ESWT dan mengecek limit shocksecara berkala,Ada,Efektif,6,SEDANG,"Melakukan sosialisasi SPO alat ESWT dan saling berkoordinasi antara dokter, perawat dan terapis untuk mengecek limit shocksecara berkala",1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
461,Penggunaan ESWT pada pasien,untuk layanan tindakan terapi dengan menggunakan alat modalitas ESWTsesuai yang diprogramkan,,Kepatuhan,Pasien,Karena posisi penempatan alat shock tidak sesuai pada area otot yang harus di shock mungkin saja efek shock dari alat tersebut mengenai jaringan yang lain sehigga mengebabkan area tersebut lebam / bruist,Posisi alat shock tidak sesuai area yang sakit pada pasien,C,3,3,SPO penggunaan alat ESWT dan memastikan posisi alat pas,Ada,Efektif,9,SEDANG,Melakukan sosialisasi SPO alat ESWT,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
462,penggunaan PEMF untuk pelayanan tindakan terapi,Untuk layanan terapi pasien dengan menggunakan alat PEMF,,Kepatuhan,Pasien,Karena posisi penempatan alat PEMF tidak sesuai pada area yang seharusnya mungkin saja bergeser ke area yang lain sehingga penggunaan PEMF tidak tepat sasaran dan menghambat keberhasilan terapi.,Posisi alat PEMF tidak sesuai area yang sakit pada pasien,C,2,3,SPO penggunaan alat PEMF dan memastikan posisi alat pas,Ada,Efektif,6,SEDANG,Melakukan sosialisasi SPO alat PEMF,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
463,penggunaan PEMF untuk pelayanan tindakan terapi,Untuk layanan terapi pasien dengan menggunakan alat PEMF,,Operasional,Fasilitas,Karena pemakaian PEMF didalam ruangan yang sama dengan alat terapi lainnya seperti MWD mungkin saja alat terapi lain seperti MWD mati karena gelombang magnetnya sehingga membuat alat terapi lain tidak bisa berfungsi danmenghambat pelayanan pasien.,Ruang tindakan PEMF terlalu dekat dengan alat terapi lain sepeti MWD,C,2,4,Memindahkan alat PEMF keruangan / poli lain,Ada,Efektif,8,SEDANG,Melakukan sosialisasi SPO alat PEMF,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
464,penggunaan PEMF untuk pelayanan tindakan terapi,Untuk layanan terapi pasien dengan menggunakan alat PEMF,,Kepatuhan,Pasien,Karena terapis/dokter/perawat tidak menanyakan kepadapasien apakah terpasang logam/pace maker dalam tubuhnya mungkin saja pasien yang memakai pace maker atau terdapat logam dalam tubuhnya sehingga alat pace maker mati atau terjadi pemanasan danbisa menimbulkan luka bakar pada pasien,Petugas lupa menanyakan kepada pasien terdapat logam atau pace maker dalam tubuh pasien,C,3,3,SPO penggunaan alat PEMF dan memastikan identifikasi pasien dengan benar,Ada,Efektif,9,SEDANG,Melakukan sosialisasi SPO alat PEMF,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
465,penggunaan Traksi untuk pelayanan tindakan terapi,Untuk layanan terapi pasien dengan menggunakan alat Traksi,,Kepatuhan,Pasien,Karena terapis salah mengukur tinggi tubuh pasien mungkin saja terapis salah menyeting regangan traksi sehingga terjadi cervicalstraib pada pasien,Kesalahan setting alat traksi,C,3,3,SPO penggunaan Alat traksi dan memastikan posisi alat pas,Ada,Efektif,9,SEDANG,Melakukan sosialisasi dan refresh SPO alat Traksi,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
466,Penggunaan alat Peak Flow Meter 120A ROSSMAX untuk pasien,Pasien menggunakan alat Peak Flow ROSSMAX,,Kepatuhan,Pasien,Karena pasien tidak teredukasi dengan baik cara desinfeksi alat Peak Flow Meter 120A ROSSMAX mungkin saja alat menjadi tidak hygienis sehingga berisiko terkena pneumonia (infeksi sekunder),pasien tidak teredukasi desinfeksi alat Peak Flow Meter 120A ROSSMAX,C,2,3,Mengedukasi pasien dengan benar dan mencontohkan langsung,Ada,Efektif,6,SEDANG,Melakukan praktek cara edukasi yang efektif saat GKM,1x/3 bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
467,Dokter Sp.KFR melakukan pelayanan kepada pasien,Untuk pelayanan kepada pasien,,Operasional,Pasien,Karena Ruang tindakan dokter untuk penggunaan alat PEMF dan Laser bergabung dengan ruang konsultasi mungkin saja membuat tindakan dokter menjadi lebih lama sehingga memperpanjang lama waktu tunggu dokter,Ruang tindakan dokter untuk penggunaan alat PEMF dan Laser bergabung dengan ruang konsultasi dokter,C,3,3,Mengatur waktu antrian,Ada,Efektif,9,SEDANG,Berkoordinasi dengan perawat membantu pasien ke ruangan PEMF,Setiap kali ada pasien dengan program PEMF,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
468,Dokter melakukan tindakan ESWT pada pasien,Untuk pelayanan kepada pasien,,Operasional,Pasien,Karena Dokter Sp.KFR melakukan tindakan ESWT lebih dari 1 zona terapi pada 1 pasien mungkin saja waktu pelayanan dokter menjadi lebih lama sehingga berisiko waktu tunggu pasien lebih lama.,Dokter Sp.KFR melakukan tindakan ESWT lebih dari 1 zona terapi pada 1,C,3,3,Mengatur waktu antrian dan mengingatkan dokter,Ada,Efektif,9,SEDANG,Berkoordinasi dengan dokter Sp.KFR saat GKM,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
469,Dokter melakukan visite Pasien Rawat Inap,Melakukan pelayanan pada pasien rawat inap,,Keuangan,Bisnis RS,Karena Dokter Sp.KFR salah menginterpretasikan semua konsul pasien rawat inap adalah rawat bersama mungkin saja dokter melakukan visite setiap hari sehingga tagihan pasien meningkat dan melebihi limit asuransi,Dokter Sp.KFR salah menginterpretasikan semua konsul pasien rawat inap,C,2,3,Mengingatkan dokter untuk memperhatikan kode konsul dan rawat bersama,Ada,Efektif,6,SEDANG,Berkoordinasi dengan dokter Sp.KFR saat GKM,1x/bulan,Rehabilitasi Medik,Syaida dan Intan,Rehab Medik & KTKA
470,Pasien merasa penasaran dengan kegiatan di luar jendela pada saat terapi wicara,Melakukan tindakan terapi wicara,,Operasional,Pasien,Karena rasa ingin tahu pasien anak dan juga impulsifitas pasien anak mungkin saja pasien ingin membuka jendela yang tidak ada tralis pengaman sehingga pasien terjatuh,Jendela tidak dipasang tralis,UC,2,3,Pengadaan Tralis,Ada,Efektif,6,SEDANG,Berkoordinasi dengan IPSRS dan Procurment,1x/bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
471,Melakukan tindakan stimulasi visual di Ruang Snoezellen,Untuk layanan terapi pasien dengan menggunakan ruangan snoezelen,,Kepatuhan,Pasien,Karena rasa ingin tahu pasien anak dan juga impulsifitas pasien anak mungkin saja pasien memukul atau melempari aquarium dengan benda yang cukup keras sehingga aquarium pecah dan melukai pasien atau terapis.,Rasa ingin tau dan impulsivitas pasien anak berkebutuhan khusus,UC,2,3,Memasttikan mainan yang mudah dijangkau mainan yang aman dan tidak memcahkan kaca,Ada,Efektif,6,SEDANG,Melakukan sosialisasi dan refresh SPO alat Traksi,1x/bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
472,Melakukan tindakan stimulasi visual di Ruang Snoezellen,Untuk layanan terapi pasien dengan menggunakan ruangan snoezelen,,Kepatuhan,Pasien,Karena rasa ingin tahu pasien anak dan juga impulsifitas pasien anak mungkin saja pasien bermain disela-sela yang terdapat kabel dan juga stop kontak listrik sehingga beresiko tersetrum aliran listrik,Pasien anak Bermain di sela-sela dekat sumber listrik,UC,2,3,SPO penggunaan ruangan dan terapi di R. soezelen memperhatikan anak,Ada,Efektif,6,SEDANG,Melakukan sosialisasi dan refresh SPO penggunaan ruang terapi dan diskusi mengenai kondisi pasien,1x/bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
473,Kesalahan pengetikan / input data pada pembuatan surat keterangan pasien,Mencegah terjadinya kesalahan pengetikan / input data pada pembuatan surat keterangan pasien,3,Operasional,Pasien,Karena kesalahan pengetikan/input data pada pembuatan surat keterangan pasien mungkin saja terjadi karena pembuatan surat keterangan secara manual sehingga menyebabkan ketidakakuratan dokumen legal pasien serta menimbulkan risiko komplain terhadap rumah sakit.,Kesalahan pengetikan karena pembuatan surat keterangan secara manual,C,3,3,SPO pembuatan surat keterangan pasien,Ada,Efektif,9,SEDANG,Membuat draft surat keterangan pasien secara elektronik,Januari 2026,Instalasi rekam Medis,"Koordinator Rekam Medis, Manajer IT, Manajer Penunjang Medis","Rekam Medis,"
474,Akses tidak sah ke data pasien,"Antisipasi kesalahan konfigurasi sistem, penyalah gunaan kode akses dan serangan cyber",4,Legal,Fasilitas,"Karena adanya akses tidak sah ke data pasien mungkin saja terjadi kesalahan konfigurasi sistem, penyalahgunaan kode akses atau adanya serangan cyber sehingga mengakibatkan reputasi yang buruk terhadap faskes karena pelanggaran privasi.",Kesalahan konfigurasi sistem atau penyalahgunaan kode akses ke data pasien,C,2,2,Kebijakan login akses,Ada,Efektif,4,RENDAH,Membuat kebijakan one single acces,Januari 2026,Rumah sakit,"Koordinator Rekam Medis, Manajer IT, Manajer Penunjang Medis","Rekam Medis,"
475,Kebocoran data pasien,Mengantisipasi terjadinya kebocoran data pasien dan meminimalisasi akibat dari resiko tersebut dengan memperketat akes keamanan data,4,Legal,Pasien,Karena terjadi kebocoran data pasien mungkin saja adanya penyalahgunaan kode akses atau kehilangan data sehingga mengakibatkan adanya tuntutan hukum dari pihak konsumen/pihak ketiga dan reputasi buruk kepada faskes.,Penyalahgunaan kode akses karena lemahnya perangkat keamanan data,C,2,2,Kebijakan login akses,Ada,Efektif,4,RENDAH,Membuat kebijakan one single acces,Januari 2026,Rumah sakit,"Koordinator Rekam Medis, Manajer IT, Manajer Penunjang Medis","Rekam Medis,"
476,Kegagalan sistem informasi rekam medis,Mencegah atau meminimalisasi dampak terjadinya kegagalan sistem informasi rekam medis,3,Operasional,Fasilitas,Karena terjadi kegagalan sistem informasi rekam medis mungkin saja karena adanya kerusakan hardware atau gangguan aliran listrik sehingga mengakibatkan pelayanan kepada pasien terganggu,Adanya kerusakan hardware atau gangguan aliran listrik,C,2,3,SPO Pemeliharaan sarana,Ada,Efektif,6,SEDANG,Melakukan kontrol pemeliharaan sarana dan prasarana,1X sebulan,Instalasi rekam Medis,"koordinator Rekam Medis,","Rekam Medis,"
477,Kesalahan input kode diagnosa pasien,Mencegah atau meminimalisasi terjadinya kesalahan input kode diagnosa pasien,4,Kepatuhan,Staf Medis,Karena terjadi kesalahan input kode diagnosa pasien mungkin saja karena petugas kurang teliti atau gagal memahami diagnosa pasien sehingga akan mengakibatkan terjadinya kesalahan tren penyakit pada laporan 10 besar penyakit dan terjadinya kegagalan /pending klaim pada pasien BPJS,Petugas kurang teliti atau gagal memahami diagnosa dalam proses input kode diagnosa pasien,C,3,3,SPO Koding,Ada,Efektif,9,SEDANG,Membuat data base seluruh kode diagnosa berdasarkan ICD 10 dan ICD 9 pada aplikasi teramedik,2026,Instalasi rekam Medis,"Koordinator Rekam Medis, Manajer IT, Manajer Penunjang Medis","Rekam Medis,"
478,Resiko terjadinya petugas rekam medis tersengat arus listrik,Mencegah terjadinya insiden petugas rekam medis tersengat arus listrik,3,Operasional,Fasilitas,Karena adanya resiko terjadinya petugas tersengat arus listrik mungkin saja adanya kabel listrik yang terkelupas dan adanya box pembangkit listrik di ruang rekam medis sehingga dapat mengakibatkan petugas mengalami cidera atau kematian.,Adanya kabel listrik yang terkelupas dan adanya box pembangkit listrik di dalam ruangan rekam medis,C,1,2,Pemasangan ducting pada jalur kabel listrik,Ada,Efektif,2,SANGAT RENDAH,Pengawasan jalur kabel listrik,1x sebulan,Instalasi rekam Medis,"Koordinator Rekam Medis, Koordinator IPSRS","Rekam Medis,"
